sigma,deep_mse_mean,deep_mse_std,shallow_mse_mean,shallow_mse_std
0.0,0.032569516173381885,0.03176976853735916,0.042107169330120084,0.008546142347355151
0.0001,0.03257100173291292,0.03176881622944926,0.04210767447948456,0.008545780863820657
0.0003,0.032583239927407706,0.031761103743269084,0.04211530387401581,0.00854470605787155
0.001,0.03272032343666069,0.03167457256438191,0.04219742938876152,0.008529226251407085
0.003,0.03389307097531855,0.03093515043852959,0.04287799075245857,0.008409370547210755
0.01,0.04542374312877655,0.02366679901323357,0.04979953542351723,0.007281413217338159
0.03,0.10230898559093475,0.011864515016091287,0.08445836752653121,0.003025566564231701
0.0625,0.13795050084590912,0.033323942574338544,0.10728362798690796,0.004519432926546342
0.1,0.14355524331331254,0.03548928981562796,0.11205340176820755,0.006089584410014312
0.2,0.15551456362009047,0.040077999706053344,0.12259965240955353,0.010480514602340429
