model,sigma_y,train_mu,train_sd,test_mu,test_sd,gap_mu,gap_sd,degradation_mu,degradation_sd
deep,0.0,0.027797962334761905,0.024816968088053976,0.027801926902313312,0.024815269818098243,3.964567551406617e-06,1.9955628461182252e-05,0.0,0.0
deep,0.001,0.03664334037928256,0.02560396638677935,0.03664141149317288,0.025597154386405533,-1.928886109681116e-06,2.7957311398904997e-05,0.00883948459085957,0.00551575094480818
deep,0.01,0.02756696012947941,0.022825951878314064,0.027366293572640643,0.022767937086554467,-0.0002006665568387689,0.0001382935582373286,-0.0004356333296726689,0.02880654813715005
deep,0.05,0.03917411640286446,0.02474876898802679,0.03614518423564732,0.02445506722169887,-0.0030289321672171353,0.0003687130763069386,0.00834325733333401,0.022785448357541444
deep,0.1,0.06409767121076584,0.017319603228587555,0.05346441902220249,0.01626646778789941,-0.010633252188563347,0.0019415648688702507,0.02566249211988918,0.023398990205519825
shallow,0.0,0.04210978671908379,0.0085526064176051,0.04210716784000397,0.008546142055023912,-2.6188790798187256e-06,2.9712524673496557e-05,0.0,0.0
shallow,0.001,0.04722428619861603,0.008697912122115908,0.04723064675927162,0.00871663476165959,6.360560655593872e-06,2.1897179510800034e-05,0.005123478919267654,0.0017990887873241528
shallow,0.01,0.04774676188826561,0.008319109589995387,0.047609728574752805,0.00839493744655943,-0.00013703331351280212,0.00010199043361058387,0.00550256073474884,0.0016962437811782146
shallow,0.05,0.048057864978909494,0.010589046995021306,0.045428415015339854,0.010819885153067345,-0.002629449963569641,0.0004149467449338995,0.003321247175335884,0.0050011262973363
shallow,0.1,0.05566990897059441,0.007839478087254374,0.04548896998167038,0.008622150482890627,-0.010180938988924026,0.0008334700003947038,0.0033818021416664123,0.001105655860415607
